whitePixelOnTopHalfCount,whitePixelOnBottomHalfCount,leftSideShape,rightSideShape,topShape,bottomShape,distanceCenter,heightWidthRatio
 1,  26,  47,  54,  44,  77,   7,401.396,3.94711
 0,  65, 106,  45,  61, 165,  40,1524.19,0.974093
 9,  32,  63,  60,  45,  70,  17,481.763,2.23047
 1,  25,  47,  23,  36,  33,   4,388.323,4.26208
 4,  29,  71, 137,  86, 213, 113,635.251,0.794855
 2,  63, 104, 107, 115, 230,  83,1137.81,1.24735
 9,  47,  54,  80,  35,  83,  34,583.141,2.27673
 3,  60,  70, 120, 119, 235, 103,872.372,1.38018
 7,  56,  49, 155,  40, 113,  75,705.895,2.01717
 4,  48,  92,  63,  80, 150,  68,900.955,1.13375
 5,  38,  57,  96, 183, 133,  50,692.689,1.60785
 7,  48,  52,  84,  73, 109,  54,561.887,1.84006
 6,  34, 119,  34, 123, 161,  33,936.241,1.14404
 8,  44,  73,  75,  78, 134,  49,757.141,1.90066
 0,  41,  64,  36,  49,  90,  18,716.901,1.64842
 9,  47,  50,  94,  63, 103,  61,507.112,1.93092
 2,  64,  84,  69,  83, 123,  37,942.726,2.25975
 0,  54,  89,  50,  22, 101,  47,1005.64,1.46299
 5, 111, 125,  51, 115, 141, 104,1718.37,1.24667
 7,  52,  40,  90,  68, 105,  74,568.301,1.98961
 1,  23,  36,  20,  19,  21,   4,406.019,4.16236
 8,  56,  66,  33, 107,  89,  35,729.007,2.4321
 4,  47,  91, 142,  64, 209, 115,929.684,0.630169
 4,  31,  70, 105,  56, 148,  58,594.908,1.12929
 4,  45,  80,  72,  27, 119,  29,740.394,1.10746
 1,  29,  38,  27,  63,  38,   3,386.366,4.6384
 4,  32,  73,  85,  33, 137,  35,565.384,1.30808
 8,  45,  81,  35,  94, 109,  53,718.908,2.18819
 7,  45,  47,  94,  71,  95,  69,555.924,2.02747
 8,  54,  86,  56, 159, 174, 121,918.177,1.44021
 9,  63,  97, 124,  82, 193, 108,1043.47,0.950479
 1,  25,  39,  29,  63,  71,   4,332.496,5.27675
 2,  43,  84,  88,  39,  77,  16,808.212,1.9446
 3,  62,  78, 104,  92, 116,  99,955.365,1.80176
 4,  71, 139, 117,  58, 191,  77,1475.93,0.729068
 1,  25,  39,  40,  48,  45,   3,350.919,5.5035
 1,  22,  37,  58,  56,  74,   7,293.935,3.08373
 8,  49,  70,  43,  88, 100,  45,712.906,2.29107
 6,  43,  91, 105, 139, 157,  43,927.709,1.59448
 3,  55,  52, 145, 112, 223, 108,816.135,2.14687
 7,  69,  58, 104, 108, 174, 130,861.364,1.1945
 7,  56,  45, 161, 117, 205, 135,719.969,1.23036
 1,  26,  38,  42,  46,  63,   5,342.56,4.34251
 9,  49,  65, 121,  77, 152,  91,729.112,1.21001
 4,  49,  76,  58,  60, 106,  37,694.18,1.59513
 3,  70,  67, 102,  86, 106, 116,962.391,2.18979
 7,  63,  69,  94,  43,  88,  57,816.767,2.30664
 4,  36,  65,  80,  80, 136,  72,562.081,1.14053
 8,  62,  88,  67,  43, 103,  42,925.98,1.84568
 7,  60,  45, 125,  52, 124,  79,674.418,1.47698
 9,  38,  60,  61,  45,  88,  21,573.813,1.98591
 8,  54,  61,  73, 144, 159, 129,703.054,2.14433
 9,  27,  32,  48,  33,  43,   3,379.32,3.99041
 4,  52,  84, 109,  93, 185, 116,909.734,1.09333
 1,  20,  40,  60,  65,  89,  17,335.693,2.41646
 7,  57,  51,  92,  69, 120,  93,699.484,1.55763
 4,  44,  73,  96,  80, 196, 127,785.763,0.959352
 8,  46,  61,  54, 122, 133,  81,632.477,2.25308
 3,  51,  92,  85,  44,  89,  56,942.932,1.83936
 9,  49,  66,  71,  45,  99,  28,667.25,1.52578
 3,  67, 108,  90,  55, 123,  26,1167.05,1.43386
 3,  56,  55,  87,  61,  89,  69,694.985,2.65452
 4,  49, 112,  62,  50, 170,  32,979.862,0.984805
 1,  29,  45,  31,  50,  40,   4,374.11,4.20267
 5,  61, 108,  79, 109, 167,  60,1179.15,1.63944
 4,  46,  79,  76,  82, 155,  98,782.141,1.03952
 7,  40,  55, 137,  57, 136,  62,533.764,1.64003
 6,  32,  92,  44, 115, 132,  42,764.233,1.27695
 8,  51,  60,  51,  83,  91,  67,782.911,1.7821
 5,  51,  46,  67, 198, 184, 189,760.42,1.20311
 0,  37,  65,  67,  32,  98,  43,692.747,1.46526
 6,  34, 100,  49, 106, 112,  20,793.299,1.4408
 4,  41,  80, 129,  72, 184,  88,727.317,1.03675
 7,  55,  39, 142,  37, 117,  99,634.271,1.36853
 3,  76, 100, 133,  59, 146,  21,1266.55,1.5784
 7,  58,  52, 109,  40, 105,  73,700.825,1.50418
 1,  21,  36,  19,  28,  26,   4,347.308,5.48712
 1,  32,  37,  74,  46,  45,   9,363.929,2.96788
 9,  40,  37,  86,  51,  96,  45,449.61,2.27493
 6,  33,  89,  51, 119, 131,  22,767.901,1.4734
 2,  42, 120,  71, 117, 198,  52,1021.74,1.38364
 4,  50, 104,  99,  92, 188,  87,944.653,0.972861
 7,  80,  62, 168,  44, 140,  85,1018.25,1.48302
 9,  52,  72,  65,  42,  90,  27,737.822,1.47782
 6,  30,  80,  52,  85,  89,  26,637.686,1.80928
 2,  59,  83, 158,  43, 139,  28,1106.3,1.80929
 6,  44,  99,  51,  98, 144,  60,943.118,1.15718
 9,  44,  76,  66,  59, 107,  24,707.479,1.81498
 1,  48,  74, 133,  69, 144,  28,874.562,1.6673
 3,  73,  71, 100,  75,  99, 102,1088.22,1.92204
 2,  62, 120, 148,  71, 170,  34,1335.94,1.48366
 5,  60,  59,  46, 244, 159,  82,877.028,1.49052
 0,  68,  98,  48,  37, 108,  24,1188.42,1.29274
 3,  61,  79, 112,  39, 129,  64,1051.09,1.7094
 2,  46,  91, 185,  70, 193,  44,1021.79,1.40696
 6,  46, 120,  51,  91, 159,  35,1161.8,1.13941
 1,  31,  50,  23,  52,  64,   4,422.759,4.4967
 0,  61,  89,  36,  36,  94,  30,1062.18,1.37218
 2,  68,  95, 114, 137, 218, 105,1226.85,1.90405
 0,  50,  84,  45,  26,  98,  54,929.977,1.56025
 3,  44,  76,  98,  47, 129,  55,786.399,1.79735
 2,  45,  87,  95,  74, 151,  25,828.758,1.82217
 3,  57,  87, 100,  34, 128,  54,950.527,1.80128
 4,  34,  58, 128,  62, 152,  74,500.341,1.19561
 7,  39,  44, 132,  48,  95,  61,536.174,2.52148
 2,  67,  86, 109,  64, 162,  18,1054.95,1.79111
 0,  41, 115,  40,  50, 207,  66,1078.63,0.779344
 7,  57,  53, 154,  38, 155,  85,805.55,1.40259
 5,  79, 139,  76,  92, 146,  66,1394.01,1.41125
 4,  40,  69,  91,  49, 157,  58,668.695,1.07977
 0,  55,  78,  47,  46, 115,  36,1066.72,1.20831
 9,  43,  65,  91,  38, 122,  19,609.098,1.59591
 1,  21,  30,  25,  30,  35,   4,313.549,5.71169
 5,  51,  64,  86, 160, 154, 148,820.371,1.61087
 5,  45,  71,  72,  96, 106,  44,811.025,1.62241
 1,  24,  38, 106,  94,  58,  18,318.382,3.58828
 4,  34,  62,  82,  26, 102,  13,507.87,1.74244
 2,  57, 106, 124, 102, 215,  69,1188.63,1.2453
 1,  24,  36,  19,  33,  32,   4,330.229,5.94572
 3,  59,  78,  99,  83, 140,  88,961.849,1.75987
 0,  68,  97,  50,  75, 168,  53,1407.87,1.0218
 6,  33, 112,  54, 136, 160,  65,920.848,1.08251
 6,  37,  83,  86, 124, 124,  39,801.228,1.53373
 1,  32,  45,  39,  77,  57,   7,442.494,3.69363
 9,  49,  65,  75,  43,  92,  49,773.932,1.83607
 8,  37,  69,  44,  76,  95,  38,585.605,2.35379
 1,  39,  52,  71, 101, 133,  11,668.339,3.16371
 3,  38,  62, 151,  98, 198,  68,642.781,1.78427
 3,  62, 102, 149,  90, 196,  42,1203.54,1.33448
 8,  38,  67,  65, 103, 124,  72,690.732,1.83345
 0,  73,  98,  65,  78, 177,  59,1368.87,1.06988
 0,  58,  76,  36,  57, 128,  33,1078.67,1.17639
 5,  41, 106,  70, 126, 180,  80,1066.39,0.956279
 3,  66,  73, 136,  55, 116,  91,967.538,2.03624
 4,  46,  89, 134,  81, 178,  75,760.453,1.26212
 0,  55,  75,  41,  39, 101,  25,999.115,1.36623
 5,  47,  84,  71, 119, 195,  94,805.421,1.08376
 6,  38,  90,  37, 146, 181,  70,955.598,1.1032
 4,  42, 135, 143,  29, 220,  60,1343.12,0.762131
 1,  27,  35,  43,  47,  59,   3,341.645,4.88484
 6,  30,  72,  78,  59, 106,  21,651.945,1.636
 6,  32,  93,  53, 131, 148,  56,808.381,1.17393
 7,  61,  70, 154,  62, 138,  73,928.106,1.743
 9,  44,  55,  57,  28,  61,  15,505.801,2.41819
 5,  45,  55, 134,  82, 171, 107,703.547,1.0756
 5,  61,  71,  51, 192, 141, 144,956.552,1.7227
 8,  55,  77, 121,  60, 143,  78,855.966,1.62644
 9,  44,  62,  92,  52, 103,  54,569.172,1.64221
 1,  32,  54,  44,  41,  67,   6,452.709,3.50522
 4,  41,  67,  89,  86, 125,  89,635.025,1.52999
 7,  74,  60, 127,  74, 130,  94,930.533,1.66654
 5,  55,  60,  81, 195, 191, 166,911.872,1.75835
 2,  72, 115,  99, 110, 151,  71,1497.98,1.33084
 8,  43,  63,  51,  86, 103,  60,631.701,2.12734
 8,  94, 111,  86, 117, 155, 140,1340.08,1.54539
 6,  34, 121,  64, 142, 197,  65,1017.82,1.01867
 0,  57,  95,  32,  39, 172,  67,1233.01,0.826536
 7,  74,  56, 147,  76, 145, 108,973.989,1.58505
 0,  56,  75,  84,  64, 179,  75,1112.19,1.1491
 1,  21,  34,  21,  33,  25,   3,327.786,5.82057
 7,  43,  47, 149,  42, 106,  83,617.49,2.59732
 1,  27,  46,  31,  48,  60,   4,389.287,4.39932
 8,  70, 111,  98,  52, 124,  64,1256.43,1.21004
 7,  58,  47, 127,  80, 139, 119,719.009,1.37794
 8,  66, 104,  37,  73, 156,  46,1379.48,1.02146
 0,  89, 126,  51,  68, 141,  57,1604.77,1.06447
 8,  63, 112,  57,  63, 155,  50,1282.75,1.12489
 1,  38,  69,  36,  46,  57,   6,591.875,2.87987
 4,  44,  81, 101,  50, 136,  36,645.589,1.67596
 2,  45,  97,  79,  70, 152,  14,858.329,1.8125
 6,  31, 122,  64, 138, 177,  79,946.52,0.968371
 3,  71,  93, 106,  57, 119,  33,1164.16,1.60779
 2,  57,  73, 105,  51,  87,  27,977.962,1.63908
 4,  37,  75,  86,  21,  92,  19,597.48,1.83653
 3,  73, 112,  91,  57, 144,  67,1240.61,1.33591
 5,  87, 107,  71, 109, 138,  71,1483.27,1.37059
 7,  81,  68, 177,  80, 180,  94,1166.73,1.16372
 6,  43, 129,  49, 114, 157,  50,987.332,1.30226
 4,  34,  60,  61,  86, 122,  54,497.089,1.45374
 7,  78,  56, 120,  75, 131, 107,879.752,1.62759
 1,  29,  47,  39,  75,  69,   8,404.927,3.4114
 8,  74, 119,  60,  71, 102,  67,1223.71,1.57319
 7,  43,  52,  62,  80, 108,  51,589.313,1.71607
 9,  56,  67,  76,  60,  97,  57,657.617,1.86916
 2,  33,  70, 106,  52, 136,  14,637.3,2.05733
 0,  62, 110,  40,  52, 114,  26,1141.95,1.45219
 3,  65, 101, 118,  56, 124,  81,1151.91,1.67765
 1,  30,  56,  54,  31,  63,  12,464.743,2.75614
 7,  56,  46, 152,  42, 132,  72,677.446,1.82377
 2,  74, 128,  55,  89, 144,  49,1294.21,1.38432
 2,  53,  76, 137,  66, 158,  89,890.325,1.52533
 3,  76, 124, 116,  81, 176,  89,1438.05,1.19618
 3,  73, 120,  95,  75, 135,  60,1331.98,1.51515
 4,  45, 114, 125,  55, 188,  97,1023.93,0.85185
 6,  59, 120,  90, 100, 140,  60,1203.1,1.33866
 5, 101, 124,  88,  84, 181,  77,1660.25,1.45441
 5,  39,  67, 104,  81, 135,  44,752.829,2.14618
 6,  49, 169,  43, 119, 180,  66,1465.31,0.947097
 5,  86, 129,  47,  66, 136,  39,1663,1.1868
 7,  81,  71, 138,  63, 154,  75,986.625,1.48032
 8,  72, 105,  93,  81, 179,  77,1232,1.4893
 8,  60, 120,  49,  94, 127,  54,1055.88,1.70305
 5,  42,  66, 116, 121, 135,  31,806.209,1.42689
 9,  61,  69,  91,  40, 106,  41,692.971,1.45753
 7,  36,  40, 109,  45,  93,  65,533.15,2.67479
 0,  75, 126,  46,  60, 180,  62,1496.65,0.933137
 8,  47,  85,  89,  86, 147,  50,782.193,1.74906
 1,  28,  54,  57,  46,  70,   7,498.11,2.83495
 5,  38,  70,  65, 130,  86,  22,687.354,1.71486
 2,  61, 112, 107,  48, 145,  22,1170.15,1.55802
 6,  34,  81, 103,  91, 143,  23,700.649,1.59418
 3,  61,  76, 127,  52, 136,  98,951.242,1.79268
 5,  51, 104,  92, 124, 163,  65,1098.64,1.31038
 4,  35,  72, 104,  63, 153,  68,600.939,1.18553
 8,  57,  77,  41,  59,  82,  42,890.822,1.9472
 5,  50,  83,  95, 125, 194, 105,900.839,1.33054
 0,  66,  96,  49,  38, 129,  33,1387,1.17606
 6,  47, 122,  57,  77, 136,  22,1105.39,1.40452
 0,  79, 107,  38,  52, 138,  40,1544.29,1.16102
 7,  76,  64, 138,  77, 158,  93,989.709,1.39649
 9,  44,  51, 147,  75, 187,  83,611.655,1.12794
 8,  70, 114,  73,  70, 134,  54,1161.71,1.65224
 0,  76,  97,  42,  41, 126,  32,1447.98,1.16216
 9,  59,  72,  91,  43, 106,  50,736.23,1.50259
 2,  42, 103, 116,  45, 151,  39,1147.84,1.15309
 7,  68,  59, 180,  44, 157,  83,906.569,1.57436
 3,  43,  64,  93,  49, 123,  63,790.179,1.63952
 7,  57,  49, 144,  41, 144,  60,645.445,1.62732
 3,  79, 117, 122,  69, 171,  41,1473.4,1.25116
 7,  61,  58, 142,  66, 134,  89,829.303,1.68686
 6,  41,  91,  62, 115, 131,  43,939.527,1.27475
 3,  40,  71,  63,  54,  78,  31,653.242,2.44674
 7,  56,  50, 171,  72, 156,  80,739.977,1.62405
 0,  80, 124,  54,  68, 151,  64,1636.35,1.02772
 7,  60,  46, 240,  46, 200,  73,821.002,1.16017
 3,  79, 104,  98,  30, 122,  59,1434.75,1.5563
 0,  64,  93,  58,  74, 161,  39,1181.87,1.17981
 1,  29,  53,  48,  41,  71,   8,447.718,3.51617
 9,  52,  77,  87,  76, 133,  68,754.322,1.42816
 8,  53, 104,  49,  55,  81,  19,960.826,1.98768
 5,  62,  60,  92, 131, 114,  58,839.131,2.12389
 7,  59,  46, 148,  44, 119,  89,705.047,1.81487
 9,  50,  59,  92,  46,  95,  53,601.804,1.57678
 6,  39, 110,  60,  97, 140,  26,832.995,1.58731
 5, 100, 122,  65,  91, 122,  94,1497.74,1.58876
 4,  25,  81, 109,  55, 162,  58,606.564,1.21557
 9,  41,  52, 139,  61, 185,  49,611.456,1.17763
 5,  67, 101,  90, 112, 147,  22,1170.92,1.81125
 1,  21,  40,  31,  22,  34,   4,318.552,4.48253
 6,  41, 107,  46,  86, 124,  20,856.719,1.70378
 1,  33,  67,  76, 132, 183,  47,570.628,1.52302
 0,  70, 122,  63,  60, 130,  51,1274.28,1.1739
 4,  64, 141, 133,  39, 203,  74,1471.94,0.774463
 2,  49, 105, 111,  70, 157,  37,1036.12,1.47669
 7,  56,  41, 176,  35, 137,  71,714.515,1.73959
 6,  51, 153,  59, 107, 154,  61,1261.94,1.06632
 8,  50,  80,  49,  54,  84,  16,685.601,2.59066
 8,  44,  82,  57,  75,  99,  10,736.86,2.33489
 7,  52,  55,  89,  88, 128,  79,661.674,1.60857
 3,  82, 115, 129,  43, 167,  18,1466.36,1.49428
 9,  58,  81, 104,  78, 154,  81,796.023,1.1345
 2,  74, 138, 106,  95, 199,  72,1476.94,1.26216
 3,  46, 108, 149,  68, 201,  55,993.875,1.44057
 8,  74, 121,  69,  71, 140,  59,1212.65,1.62437
 4,  40,  86, 105,  98, 208, 133,803.405,0.915153
 1,  18,  45,  52,  32,  63,   4,368.668,4.39095
 7,  37,  47,  97,  42,  74,  27,502.645,2.94369
 1,  33,  45,  53,  43,  69,   9,406.356,3.46718
 8,  56,  81,  38,  56,  93,  34,838.489,1.89263
 7,  50,  43, 123,  65, 128, 103,615.663,1.53927
 6,  34, 102,  50, 109, 129,  35,765.856,1.32739
 2,  45,  99, 116,  31, 113,  16,991.521,1.56324
 5,  88, 119,  77, 131, 186, 127,1349.44,1.30438
 0,  92, 141,  70,  34, 162,  33,1898.13,0.975967
 1,  32,  46,  71,  45,  92,  15,417.65,3.06499
 7,  53,  55, 103,  55, 137,  62,727.376,1.51899
 5,  76,  78,  97, 172, 203, 154,1090.64,1.57909
 1,  29,  44,  72,  86, 103,  17,396.164,2.679
 8, 108, 159,  62,  55, 125,  45,1768.57,1.33636
 6,  33,  97,  52,  89, 124,  15,709.893,1.90295
 5,  43,  76,  80,  63,  79,  47,719.933,1.66811
 0,  86, 140,  66,  69, 170,  66,1696.2,1.04071
 1,  24,  35,  19,  28,  29,   4,351.039,5.47332
 4,  43,  99, 110,  60, 178,  90,891.724,0.882851
 4,  37,  85, 120,  61, 185,  78,732.877,1.00972
 6,  39, 127,  48,  89, 123,  27,916.423,1.3032
 9,  64,  89,  83,  95, 138,  79,897.165,1.36711
 4,  38,  53,  53,  85, 105,  37,479.585,1.86808
 9,  55,  80,  96,  37, 144,  22,799.747,1.2405
 4,  38,  82,  86,  44, 131,  37,697.398,1.20892
 5,  52, 100,  76, 121, 185,  72,1012.76,1.31629
 5,  71, 103,  77, 132, 152, 123,1201.08,1.18779
 6,  37,  75,  33, 109, 169,  48,935.072,0.977497
 8,  72, 126,  51, 137, 172, 124,1340.85,1.2895
 9,  47,  66, 106,  85, 143,  99,656.415,1.29487
 0,  94, 142,  43,  50, 150,  52,1993.37,1.01229
 1,  33,  48,  57,  55,  78,   4,425.646,3.54193
 6,  46, 134,  37, 105, 134,  40,1139.56,1.0779
 2,  61,  89,  64, 109, 197,  44,1105.17,1.47673
 2,  44, 112,  61, 121, 220,  98,978.907,1.04772
 8,  50,  64,  48,  31,  59,  13,677.699,2.51102
 3,  43, 104, 157,  48, 203,  32,1043.86,1.54701
 6,  47, 133,  51, 108, 155,  60,1175.27,1.01596
 1,  28,  42,  44,  41,  54,   6,359.707,3.44343
 6,  44, 102,  55,  53,  88,  30,845.819,1.67893
 3,  44,  69,  99,  67, 139,  48,801.585,1.82556
 4,  52,  92,  60,  69, 130,  58,816.821,1.32247
 6,  39, 122,  38,  93, 125,  29,949.065,1.31737
 3,  57,  94, 133,  81, 169,  80,1111.73,1.53347
 5,  69, 108,  79, 143, 156, 101,1329.8,1.47075
 4,  45,  83, 119,  71, 160,  83,775.084,1.1334
 1,  33,  44,  22, 146,  43,   8,414.572,2.82878
 5,  40,  54,  71,  64,  93,  27,533.911,2.47996
 8,  51, 131,  66,  65, 108,  32,1139.36,1.4074
 8,  70, 109,  59,  43,  89,  22,1094.53,1.65534
 4,  40,  77,  61,  57, 120,  47,647.023,1.47132
 8,  59,  94,  54,  42, 109,  63,1020.73,1.56799
 0,  88, 118,  52,  50, 131,  35,1513.31,1.26092
 3,  44,  64, 106,  57, 106,  34,682.056,2.36759
 7,  70,  56, 161,  58, 152,  81,895.476,1.51977
 1,  32,  53,  86,  98, 130,  19,490.033,2.59512
 5,  87,  89,  90, 127, 159, 100,1338.31,1.56247
 1,  30,  48,  73,  81, 105,  16,420.281,2.8844
 8,  63, 101,  39, 143, 146, 113,1070.69,1.47913
 2,  53,  74,  82,  51, 119,  35,864.288,1.7695
 8,  75, 120,  44, 122, 143,  87,1251.73,1.49199
 3,  73, 113, 130,  55, 141,  55,1423.93,1.36102
 3,  56,  93, 125,  54, 167,  19,1046.39,1.7701
 5,  43,  61, 121, 147, 237, 150,576.416,1.05893
 7,  49,  46,  95,  66, 100,  67,602.558,2.01686
 1,  25,  45,  26,  21,  26,   4,338.359,5.02431
 8,  49,  91,  71,  61, 111,  28,843.954,1.92474
 3,  48,  64,  93,  53, 115,  72,787.072,1.78552
 9,  43,  59,  72,  43,  88,  32,576.694,2.2009
 3,  67, 106,  80,  59, 100,  66,1217.8,1.47831
 2,  32,  90, 115,  58, 156,  29,745.806,1.28422
 7,  32,  39, 119, 112, 181,  53,456.315,1.9165
 6,  32,  89,  56,  65,  97,  15,652.25,1.86885
 6,  30, 111,  44,  92, 134,  31,839.757,1.22436
 2,  57,  88,  90,  49, 114,  23,957.037,2.19877
 7,  59,  63, 119,  98, 215, 154,912.717,0.794244
 5,  68, 107,  69, 138, 139,  55,1241.1,1.58336
 2,  62, 121, 106, 108, 198,  89,1244.68,1.08708
 3,  53,  98, 107,  74, 148,  61,1011.89,1.60193
 4,  61,  81, 105,  99, 179, 141,871.23,0.975174
 1,  30,  50,  49,  61,  71,  12,443.18,2.98273
 6,  41, 100,  80,  83, 118,  18,900.378,1.52351
 7,  69,  53, 150,  51, 140,  84,827.609,1.72068
 2,  40,  64,  98,  51,  65,  17,675.365,1.78085
 3,  60,  93, 130,  77, 161,  50,1162.01,1.56308
 4,  34,  66, 123,  95, 180, 109,606.517,1.15773
 9,  60,  75,  99,  48, 120,  48,727.525,1.46338
 1,  22,  31,  40,  24,  41,   3,255.324,5.49648
 1,  29,  58,  76,  65, 107,  13,491.783,2.61292
 0,  66, 102,  48,  54, 171,  73,1387.82,0.955747
 9,  69,  90,  57,  97, 127,  71,936.585,1.56403
 0,  72,  95,  47,  40, 127,  42,1439.12,1.12751
 9,  58,  72,  54,  93, 117,  70,720.748,1.72964
 6,  30, 101,  37,  80, 112,  23,752.406,1.48881
 6,  41, 108,  56,  52,  95,  14,892.398,1.66158
 1,  19,  36,  24,  36,  27,   3,282.71,6.65903
 0,  42, 114,  38, 116, 161, 105,958.224,1.1411
 0,  72, 145,  53,  58, 131,  57,1758.29,1.00151
 9,  47,  71,  69,  59, 104,  45,648.332,1.56752
 6,  37,  81,  42,  66,  79,  17,673.951,2.45733
 3,  42,  97,  71,  38, 109,  29,844.154,1.93308
 1,  39,  63,  20,  35,  47,   5,542.874,3.89172
 7,  67,  63, 119,  45, 124,  66,849.018,1.68242
 1,  31,  50,  60,  49,  89,   9,455.029,3.27909
 0,  72, 129,  48,  53, 156,  42,1499.42,1.07765
 4,  47,  83,  97,  60, 175,  78,838.126,0.952043
 4,  34,  67,  70,  75, 113,  42,574.372,1.80201
 3,  40,  57, 112,  34, 130,  23,662.886,2.74625
 5,  64, 107,  76, 156, 156,  74,1217.51,1.50493
 5,  55,  87,  75, 166, 139,  62,996.647,1.3793
 0,  54, 118, 116,  47, 157,  49,1218.52,1.10856
 5,  67,  73,  95, 188, 159, 163,986.679,1.57194
 9,  60,  77,  88,  73, 144,  95,886.182,1.15519
 8,  72,  98,  58,  60,  95,  60,1070.48,1.86761
 2,  49, 121, 154,  74, 213,  82,1175.92,1.05886
 1,  27,  42,  61,  44,  77,   9,359.173,3.39268
 8,  68, 106,  59,  98,  94,  40,1125.5,1.63698
 5,  48,  93,  83,  70, 108,  19,947.357,1.78254
 1,  33,  71,  70,  52, 101,  26,600.019,2.33429
 5,  38,  63,  83,  40, 102,  18,637.416,2.71314
 4,  34,  74,  87,  46, 126,  42,588.201,1.40461
 3,  81,  64, 153,  76, 140, 117,981.824,1.61979
 3,  43,  55,  81,  40,  79,  22,683.241,2.5708
 0,  57, 100,  53,  29,  96,  30,959.669,1.63882
 5,  68,  81,  72, 191, 152, 130,1186.02,1.4608
 9,  64, 107,  85,  30, 119,  34,1131.36,1.19131
 2,  36,  97, 106,  66, 139,  25,787.41,1.59426
 9,  67,  95, 112,  69, 162,  69,1171.97,1.38743
 9,  65,  88, 118,  50, 145,  68,914.445,1.06585
 7,  75,  83, 186,  74, 183,  87,1015.41,1.49713
 4,  36,  74,  70,  48, 131,  25,605.517,1.39485
 7,  42,  72, 120, 108, 166,  84,643.573,1.66714
 0,  86, 118,  38,  46, 115,  27,1506.94,1.28239
 9,  35,  58,  75,  45,  93,  26,479.199,1.92611
 2,  46, 112,  72, 176, 223,  99,1084.61,1.26282
 3,  54,  90, 119,  51, 179,  28,1013.83,1.9292
 9,  63,  90,  86,  73, 141,  89,930.06,1.17624
 2,  39,  69, 119,  78, 126,  34,742.808,1.95694
 1,  35,  62,  91,  62, 127,  26,525.962,2.06805
 9,  67,  85,  80,  31,  96,  39,836.476,1.60512
 6,  50, 139,  51, 135, 180,  71,1336.1,0.995945
 5,  56,  91,  59, 144, 154,  62,1074.05,1.31986
 5,  72,  88,  64, 176, 180, 158,1189.23,1.25635
 0,  60,  99,  42,  45, 173,  66,1324.61,0.888636
 8,  53, 106,  52, 124, 147,  78,909.005,1.42316
 7,  31,  39, 126,  57,  97,  90,491.376,2.45315
 9,  69,  95, 106,  65, 156,  81,1101.59,1.06664
 7,  64,  75,  75,  86, 104,  63,891.232,1.76311
 4,  41,  90,  95,  77, 168,  75,806.961,1.05928
 5,  64,  82, 115, 150, 177,  99,1119.92,1.58429
 2,  49,  94,  95,  75, 147,  16,1012.11,1.89096
 1,  16,  40,  57,  32,  68,   7,343.47,4.4529
 5,  52,  75,  47, 130, 201, 134,831.655,1.08715
 5,  54,  65, 108, 155, 176, 146,768.735,1.37993
 0,  74, 115,  79,  58, 163,  52,1505.23,1.06608
 4,  22,  86, 135,  82, 190,  76,562.502,0.964091
 1,  23,  48, 107,  68, 143,  22,418.346,2.19863
 8,  70,  84,  49,  86, 103,  49,1082.09,1.63128
 2,  53, 106,  64, 153, 234,  87,1103.66,1.37399
 4,  45,  69,  93,  63, 155,  46,683.365,1.15463
 3,  55,  88, 121,  67, 132,  78,993.457,1.7458
 8,  74, 108,  87,  68, 124,  73,1120.34,1.73468
 4,  38,  71,  84,  78, 142,  63,620.6,1.59974
 1,  29,  39,  42,  40,  52,   4,359.807,4.14433
 5,  50, 100, 108,  84, 158,  25,967.311,1.58003
 6,  56, 109,  72, 100, 133,  19,1031.86,1.74494
 6,  38, 113,  60,  80, 134,  29,964.538,1.35824
 9,  48,  76,  72,  80, 127,  61,683.849,1.42841
 7, 102, 105,  88,  76, 177, 116,1566.2,0.912396
 0,  51,  92,  69,  50, 138,  32,1028.43,1.2609
 8,  75,  89,  45,  84, 100,  62,1034.94,1.85624
 0,  60,  90,  31,  62, 173,  84,1264.42,0.845136
 9,  40,  57,  61,  46,  79,  29,564.995,1.99466
 0,  41,  80,  61,  60, 118,  35,788.921,1.3042
 0,  73, 112,  83,  69, 164,  73,1452.51,1.07247
 0,  69, 123, 113,  74, 196,  71,1326.55,0.993283
 1,  34,  55, 111, 188, 173, 113,544.467,1.54029
 4,  48, 102,  74,  30, 152,  41,1026.76,1.04695
 2,  28,  86,  54,  94, 239,  90,667.731,1.02394
 7,  35, 109,  98,  78, 229,  78,795.518,0.75854
 3,  61,  89, 115,  39, 123,  66,1126.88,1.67796
 1,  20,  30,  32,  32,  25,   4,263.563,5.84886
 4,  34,  66,  64,  67, 109,  55,581.255,1.68765
 3,  85, 121, 137,  54, 168,  28,1537.43,1.18487
 7,  61,  55, 130,  90, 160, 100,708.707,1.4394
 7,  58,  60, 112, 128, 185,  86,831.572,1.54042
 8,  65,  86,  45,  73,  90,  19,977.312,2.09773
 7,  42,  63, 152, 160, 222, 134,649.643,1.44233
 9,  44,  63,  88,  47, 111,  49,599.607,1.66709
 9,  48,  51, 110,  44, 105,  55,580.633,1.89252
 0,  60,  96,  71,  59, 149,  53,1111.84,1.28198
 9,  55,  63, 111,  63, 152,  55,664.174,1.38734
 1,  26,  48,  99,  92, 140,  40,444.578,1.63137
 2,  42,  89, 152, 123, 237,  89,906.077,1.3034
